,season,Lg,Team,W,L,W_L_Pct,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top_WS,TRtg,WP82G
61,1961-62,NBA,St. Louis Hawks,29,51,0.363,4th of 5,-2.96,124.6,3.3,95.2,1.6,97.8,4.2,No,"P. Seymour (5-9), A. Levane (20-40), B. Pettit (4-2)","B. Pettit ,11.5",-2.5999999999999943,29.766
62,1960-61,NBA,St. Louis Hawks*,51,28,0.646,1st of 4,2.99,129.1,5.6,91.4,-0.7,88.7,-3.4,Lost Finals,P. Seymour (51-28),"B. Pettit ,14.9",2.700000000000003,52.972
63,1959-60,NBA,St. Louis Hawks*,46,29,0.613,1st of 4,1.77,120.0,-2.3,94.0,2.9,91.8,0.7,Lost Finals,E. Macauley (46-29),"C. Hagan ,11.8",2.200000000000003,50.266
64,1958-59,NBA,St. Louis Hawks*,49,23,0.681,1st of 4,2.89,115.6,3.6,93.3,3.1,90.1,-0.1,Lost W. Div. Finals,"A. Phillip (6-4), E. Macauley (43-19)","B. Pettit ,14.8",3.200000000000003,55.842000000000006
65,1957-58,NBA,St. Louis Hawks*,41,31,0.569,1st of 4,0.82,119.5,2.5,89.7,0.9,88.6,-0.2,Won Finals,A. Hannum (41-31),"B. Pettit ,11.0",1.1000000000000085,46.657999999999994
66,1956-57,NBA,St. Louis Hawks*,34,38,0.472,1st of 4,-0.27,108.3,3.4,89.0,0.1,89.1,0.2,Lost Finals,"R. Holzman (14-19), S. Martin (5-3), A. Hannum (15-16)","B. Pettit ,11.6",-0.09999999999999432,38.704
67,1955-56,NBA,St. Louis Hawks*,33,39,0.458,3rd of 4,-1.42,109.4,6.6,87.6,-2.7,88.9,-1.4,Lost W. Div. Finals,R. Holzman (33-39),"B. Pettit ,13.8",-1.3000000000000114,37.556000000000004
68,1954-55,NBA,Milwaukee Hawks,26,46,0.361,4th of 4,-2.66,100.5,2.4,86.4,-3.4,89.4,-0.4,No,R. Holzman (26-46),"B. Pettit ,10.7",-3.0,29.602
69,1953-54,NBA,Milwaukee Hawks,21,51,0.292,4th of 4,-4.55,84.2,0.6,82.9,-4.6,89.2,1.7,No,"A. Levane (11-35), R. Holzman (10-16)","G. Ratkovicz ,5.2",-6.299999999999997,23.944
70,1952-53,NBA,Milwaukee Hawks,27,44,0.38,5th of 5,-2.49,88.4,8.0,84.0,-4.0,85.7,-2.0,No,A. Levane (27-44),"M. Hutchins ,6.9",-1.7000000000000028,31.16
71,1951-52,NBA,Milwaukee Hawks,17,49,0.258,5th of 5,-7.04,90.7,4.9,80.4,-6.5,89.1,2.2,No,D. Moore (17-49),"D. Otten ,5.6",-8.699999999999989,21.156
